Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Aazami	Shervin		C	CA30	2021	2/22/2021	10039551
	Abdelhamid	Rana		C	NY12	2021	5/14/2021	10039753
	Acheson	Phelan Douglas		W		2021		8218052
	Ackerman	Michael Stephan		C	NC05	2021	5/14/2021	10040418
	Adkins	Amanda		C	KS03	2021	5/14/2021	10040322
	Alexander	Timothy C.		C	NJ02	2021	5/15/2021	10040435
Hon.	Allen	Richard W.		P	GA12	2021	1/13/2021	20018021
Hon.	Allen	Richard W.		P	GA12	2021	3/14/2021	20018393
Hon.	Allen	Richard W.		P	GA12	2021	4/6/2021	20018530
Hon.	Allen	Richard W.		P	GA12	2021	5/9/2021	20018703
Hon.	Allen	Richard W.		P	GA12	2021	6/12/2021	20018906
	Altman	Larry Thomas	III	C	VA02	2021	6/23/2021	10041015
Hon.	Amash	Justin		T	MI03	2021	2/2/2021	10039489
	Amato	Bruno		A	CA23	2021	4/28/2021	10040026
	Amato	Bruno		C	CA23	2021	4/28/2021	10040017
	Anders	Bob		C	MO02	2021	4/15/2021	10039735
	Anderson	Terell Terell		A	AL02	2021	5/17/2021	10040507
	Anderson	Terell Terell		C	AL02	2021	5/14/2021	10039654
	Arballo	Phil		C	CA22	2021	5/15/2021	10040115
	Ardoin	Chelsea		C	LA02	2021	4/28/2021	8217995
	Armendariz-Jackson	Irene		C	TX16	2021	5/14/2021	10040420
Mrs.	Arthur	Barbara		C	SC07	2021	7/2/2021	10041188
	Atencio	Rudy A.		C	TX08	2021	4/14/2021	10039732
	Ayala	Aramis		X	FL10	2021	6/29/2021	30014968
	Baddar	Youseff Milad		C	OH05	2021	5/5/2021	10040214
	Bailey	Kathleen Cordelia		C	TX05	2021	6/2/2021	10040686
	Bailey	William		D	SC07	2021	4/26/2021	8217993
Hon.	Banks	James E Hon		P	IN03	2021	1/13/2021	20018018
Hon.	Banks	James E Hon		P	IN03	2021	5/18/2021	20018763
Hon.	Banks	James E Hon		P	IN03	2021	6/11/2021	20018903
Hon.	Barnes	John E.	Jr.	C	OH11	2021	5/14/2021	10040419
	Barr	Timothy		X	GA10	2021	6/8/2021	30014932
	Bates	Betsy		D	TX08	2021	6/28/2021	40003219
	Beach-Ferrara	Jasmine		X	NC11	2021	5/11/2021	30014901
	Bean	Lydia		C	TX06	2021	3/31/2021	10039697
	Beatty	John		C	VA10	2021	5/13/2021	10040382
	Becker	April		X	NV03	2021	5/5/2021	30014883
	Bell	Douglas A.		D	AL03	2021	5/14/2021	40003187
	Bellingham	Christopher		D	CA25	2021	5/11/2021	8218023
Mr.	Benjamin	Leon	Sr.	C	VA04	2021	5/15/2021	10040405
Mr.	Berg	Matthew Richard		C	TX22	2021	3/12/2021	10039617
	Bernard	Claston		C	LA02	2021	3/10/2021	10039601
	Betts	Greg		C	OH15	2021	7/4/2021	10041096
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	1/1/2021	20017909
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	1/31/2021	20018096
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	2/27/2021	20018292
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	4/1/2021	20018431
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	5/1/2021	20018597
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	6/7/2021	20018752
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	7/4/2021	20019022
	Billand	Michael Alan		C	TX02	2021	6/24/2021	8218127
	Bish	Christine		C	CA06	2021	5/14/2021	10040451
Hon.	Bishop	Rob		T	UT01	2021	2/4/2021	8217836
Hon.	Blumenauer	Earl		P	OR03	2021	1/6/2021	20017979
Hon.	Blumenauer	Earl		P	OR03	2021	2/3/2021	20018142
Hon.	Blumenauer	Earl		P	OR03	2021	3/3/2021	20018321
Hon.	Blumenauer	Earl		P	OR03	2021	3/5/2021	20018338
Hon.	Blumenauer	Earl		P	OR03	2021	4/2/2021	20018506
Hon.	Blumenauer	Earl		P	OR03	2021	5/4/2021	20018685
Hon.	Blumenauer	Earl		P	OR03	2021	5/27/2021	20018812
Hon.	Blumenauer	Earl		P	OR03	2021	5/28/2021	20018819
Hon.	Blumenauer	Earl		P	OR03	2021	6/9/2021	20018890
Hon.	Blumenauer	Earl		P	OR03	2021	7/5/2021	20019026
	Borghese	Rene		C	NC04	2021	5/12/2021	10040302
Hon.	Brindisi	Anthony		C	NY22	2021	2/10/2021	10039525
Ms.	Brooks	Linda Susan		A	FL02	2021	5/6/2021	8218013
Ms.	Brooks	Linda Susan		C	FL02	2021	4/30/2021	10040117
Ms.	Brooks	Linda Susan		C	FL02	2021	5/3/2021	8218012
Hon.	Brooks	Mo		P	AL05	2021	1/26/2021	20018077
Hon.	Brooks	Mo		P	AL05	2021	2/12/2021	20018204
Hon.	Brooks	Mo		P	AL05	2021	2/16/2021	20018223
Hon.	Brooks	Mo		P	AL05	2021	4/20/2021	20018605
Hon.	Brooks	Mo		P	AL05	2021	5/28/2021	20018822
	Brooks	Raymond N.		C	MS04	2021	5/29/2021	10040650
Hon.	Brooks	Susan W.		T	IN05	2021	5/4/2021	10039600
	Brotschol	Hillery		C	NJ11	2021	5/15/2021	10039578
Dr.	Broun	Paul C.		C	GA10	2021	5/8/2021	10040271
	Brown	Mary Kathleen		X	TX13	2021	6/17/2021	30014936
Hon.	Buchanan	Vern		P	FL16	2021	1/18/2021	20018041
Hon.	Buchanan	Vern		P	FL16	2021	2/25/2021	20018280
Hon.	Buchanan	Vern		P	FL16	2021	4/28/2021	20018648
Hon.	Buchanan	Vern		P	FL16	2021	6/2/2021	20018836
	Burau	Justin		D	IL06	2021	4/29/2021	40003169
	Burnett	Debora Lynn		D	CO03	2021	6/7/2021	40003214
	Burton	Daniel Leroy	Jr.	C	PA00	2021	5/11/2021	10040226
	Buttar	Shahid		C	CA12	2021	5/17/2021	10040448
Mr.	Cannon	Beau Alexander Ryan		C	GA11	2021	5/2/2021	10039741
Mr.	Cannon	Beau Alexander Ryan		D	GA11	2021	4/29/2021	8218004
	Carey	Jan		C	NC11	2021	6/16/2021	10040466
	Carey	Jan		X	NC11	2021	6/1/2021	30014922
	Carey	Mike		C	OH15	2021	7/2/2021	10040829
	Carey	Mike		X	OH15	2021	6/15/2021	30014953
	Carra	Stephen		C	MI06	2021	6/10/2021	10040876
Hon.	Carter	Earl Leroy		P	GA01	2021	5/10/2021	20018712
Hon.	Carter	Earl Leroy		P	GA01	2021	5/12/2021	20018726
Hon.	Case	Ed		P	HI01	2021	5/9/2021	20018706
